created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Wed Dec 13 11:31:41 +0000 2023;1734898883548111067;"—   kehidupan pasca perceraian https://t.co/9TJhxA1n4d";0;0;0;0;in;418543250;1673189134960308226;kethatey;https://twitter.com/kethatey/status/1734898883548111067
Wed Dec 13 11:20:34 +0000 2023;1734896085653655969;"@pagibulanjuni Begitulah kehidupan pasca perceraian";0;1;0;0;in;1103686384471048194;1734868215703228865;seventhlilac;https://twitter.com/seventhlilac/status/1734896085653655969
Wed Dec 13 10:20:47 +0000 2023;1734881041717088280;"@tanyarlfes "Polisi Benarkan Ammar Zoni Dtangkap Lagi Terkait Narkoba" untung gue ngga nonton ampe abis podcast'a dia sama deddy, tadi'a gue kasian pas d cerai Irish Bella. Tp seperti'a keputusan irish tepat, atau gara2 perceraian'a maka'a ammar "make" lagi? Ah gue nonton debat capres ajalah";0;0;0;0;in;1145131153289908225;1734845473046032404;diaryCLLe;https://twitter.com/diaryCLLe/status/1734881041717088280
Wed Dec 13 10:20:16 +0000 2023;1734880912020807779;"@milkywaygyal @18fesss Sekarang kl kasus si sender, dia rugi ga menurutmu? Dan kl ga ada jalan keluar (si sender sudah mengajak ngobrol tp ga ada ngaruhnya), dan berujung ke perceraian...rugi ga menurutmu?";0;1;0;0;in;83037325;1734874645776806279;bowbows;https://twitter.com/bowbows/status/1734880912020807779
Wed Dec 13 10:11:59 +0000 2023;1734878827430699455;"@dacdelions @taebybyby @hayateea11 @jounnast @ceugils @convomfs nah itu kan HAK anda... lalu ? satu lagi hidup manusia itu untung untung soal pasangan . perceraian diciptakan bukan tanpa alasa";0;0;0;0;in;1664876228401303554;1734791529062101262;aniblogsan52394;https://twitter.com/aniblogsan52394/status/1734878827430699455
Wed Dec 13 09:58:04 +0000 2023;1734875323429466566;"Belum Ungkap Perceraian Pada Anak, Weton Olla Ramlan dan Aufar Hutapea Ternyata Bisa Langgeng Loh!  #VeronaPictures #OllaRamlan #AufarHutapea #Weton #Viral #TrendingNow  https://t.co/mTawW12Fun";0;0;0;0;in;1488100595323990017;1734875323429466566;Verona_Indo;https://twitter.com/Verona_Indo/status/1734875323429466566
Wed Dec 13 09:47:58 +0000 2023;1734872783249940753;"@kegblgnunfaedh H-1 sidang mediasi perceraian njirrr malah datengnya ke tempat lain  https://t.co/isxMONUmGt";0;0;0;0;in;1181210602179481603;1734846614119088332;narangija_mashi;https://twitter.com/narangija_mashi/status/1734872783249940753
Wed Dec 13 09:39:09 +0000 2023;1734870562647023628;"@kegblgnunfaedh Bebas cuma buat ngurus perceraian terus masuk lagi";0;0;0;0;in;402635383;1734846614119088332;AR_Rifaifai;https://twitter.com/AR_Rifaifai/status/1734870562647023628
Wed Dec 13 09:38:05 +0000 2023;1734870294387634221;"@detikcom Lagi? Akibat stress pasca perceraian gak sih?";0;0;0;0;in;3039260814;1734839669299482870;ajengmstka_;https://twitter.com/ajengmstka_/status/1734870294387634221
Wed Dec 13 09:37:35 +0000 2023;1734870168860545294;"@kegblgnunfaedh Terserah lu Mar, yang penting iris sudah dalam proses perceraian 🫢";0;0;0;0;in;4848215978;1734846614119088332;lisawidiastuti5;https://twitter.com/lisawidiastuti5/status/1734870168860545294
Wed Dec 13 09:29:52 +0000 2023;1734868228072218911;"@kegblgnunfaedh Gw muak bgt sm komen fans ammar zoni di tiktok ttg perceraian mereka. Malah irish bella yg disalahin gr² "ada masalah dikit minta cerai, suami lg ketimpa musibah malah ditinggalin, ga mau bertahan demi anak", dan yg komen kyk gitu perempuan²!";0;0;0;0;in;1540654463085875201;1734846614119088332;l0veallplay;https://twitter.com/l0veallplay/status/1734868228072218911
Wed Dec 13 09:10:58 +0000 2023;1734863472226402472;"@dewi_ehheh24 @kegblgnunfaedh itu status pas sidang perceraian kmrin";0;0;0;0;in;262856307;1734846614119088332;breyBrandon;https://twitter.com/breyBrandon/status/1734863472226402472
