full_text,sentiment
—   kehidupan pasca perceraian https://t.co/9TJhxA1n4d,Neutral
@pagibulanjuni Begitulah kehidupan pasca perceraian,Neutral
"@tanyarlfes Polisi Benarkan Ammar Zoni Dtangkap Lagi Terkait Narkoba"" untung gue ngga nonton ampe abis podcast'a dia sama deddy, tadi'a gue kasian pas d cerai Irish Bella. Tp seperti'a keputusan irish tepat, atau gara2 perceraian'a maka'a ammar ""make"" lagi? Ah gue nonton debat capres ajalah""",Positive
"@milkywaygyal @18fesss Sekarang kl kasus si sender, dia rugi ga menurutmu? Dan kl ga ada jalan keluar (si sender sudah mengajak ngobrol tp ga ada ngaruhnya), dan berujung ke perceraian...rugi ga menurutmu?",Negative
@dacdelions @taebybyby @hayateea11 @jounnast @ceugils @convomfs nah itu kan HAK anda... lalu ? satu lagi hidup manusia itu untung untung soal pasangan . perceraian diciptakan bukan tanpa alasa,Positive
"Belum Ungkap Perceraian Pada Anak, Weton Olla Ramlan dan Aufar Hutapea Ternyata Bisa Langgeng Loh!  #VeronaPictures #OllaRamlan #AufarHutapea #Weton #Viral #TrendingNow  https://t.co/mTawW12Fun",Neutral
@kegblgnunfaedh H-1 sidang mediasi perceraian njirrr malah datengnya ke tempat lain  https://t.co/isxMONUmGt,Neutral
@kegblgnunfaedh Bebas cuma buat ngurus perceraian terus masuk lagi,Positive
@detikcom Lagi? Akibat stress pasca perceraian gak sih?,Negative
"@kegblgnunfaedh Terserah lu Mar, yang penting iris sudah dalam proses perceraian 🫢",Positive
"@kegblgnunfaedh Gw muak bgt sm komen fans ammar zoni di tiktok ttg perceraian mereka. Malah irish bella yg disalahin gr² ada masalah dikit minta cerai, suami lg ketimpa musibah malah ditinggalin, ga mau bertahan demi anak"", dan yg komen kyk gitu perempuan²!""",Negative
@dewi_ehheh24 @kegblgnunfaedh itu status pas sidang perceraian kmrin,Neutral
"Ses Ditjen Renhan Kemhan, Brigjen TNI Rabimin, mewakili Dirjen Renhan Kemhan membuka Safari Dakwah dan Penyuluhan Perkawinan, serta Perceraian di lingkungan Ditjen Renhan Kemhan, Jakarta, Rabu (13/12). https://t.co/OyAZA7dffW",Positive
"Polisi Benarkan Ammar Zoni Dtangkap Lagi Terkait Narkoba"" untung gue ngga nonton ampe abis podcast'a dia sama deddy, tadi'a gue kasian pas d cerai Irish Bella. Tp seperti'a keputusan irish tepat, atau gara2 perceraian'a maka'a ammar ""make"" lagi? Ah gue nonton debat capres ajalah""",Positive
"@kegblgnunfaedh Pelarian gara² perceraian kayanya,stres akhirnya ngilangin stres dengan cara sesaat🤔",Neutral
#LeeJiAh dan #KangKiYoung Menjadi Spesialis Perceraian Dalam Drama 'Queen Of Divorce'  https://t.co/N1N6Mh5AKr,Neutral
@secebisan Punca perceraian: laki hambar,Neutral
"[HELP RT] halo, aku butuh responden untuk mengisi kuesioner penelitianku nih!   adapun kriterianya: - remaja berusia 15-21 tahun  - mengalami perceraian orang tua saat SD-SMP  - saat ini tinggal dengan ibu - berdomisili di jabodetabek   link kuesioner: 🔗 https://t.co/Rdsjkv9QKo https://t.co/qDWM7x1h0H",Positive
"@AlienJeruk29 @anakmangpiaa WKWKWK MAAF TAPI INI UDAH JADI RAHASIA UMUM 🤭 ngga muda aja, justru yang tua banyak. ngga aneh kalo nemu yang kasusnya multiple perkawinan. malah kalo gasalah menurut data taun berapa gt kasus perceraian tertinggi di indo ada di jabar wkwk",Positive
"Dampak yg paling besar dirasakan dari perceraian adalah anak-anak, karena mereka bingung harus memilih siapa? Ikut ayah atau ibu? Dan ketika ayah dan ibu berkeluarga lagi mereka akan mempunyai saudara tiri dan itu akan menjadi masalah baru",Negative
@nounaaa_x Masa kawan kerja kat mahkamah syariah dulu selalu jugak tanya dia kes2 kelakar.   Ini antara perkara yang remeh temeh yang penyebab kepada perceraian di Selangor dulu https://t.co/Loi641gdrb,Positive
